Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Anastasia Ailamaki (Carnegie Mellon University, United States and EPFL, Switzerland)",Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,Lausanne,PhD Workshop Chair,Switzerland,
"Neoklis Polyzotis (University of California, Santa Cruz, United States)",Neoklis,Polyzotis,University of California,Santa Cruz,PhD Workshop Chair,United States,https://orcid.org/0000-0002-2694-8591
"Ashraf Aboulnaga (University of Waterloo, Canada)",Ashraf,Aboulnaga,University of Waterloo,Waterloo,PhD Workshop PC Members,Canada,
"Periklis Andritsos (University of Trento, Italy)",Periklis,Andritsos,University of Trento,Trento,PhD Workshop PC Members,Italy,
"Pedro Bizarro (University of Coimbra, Portugal)",Pedro,Bizarro,University of Coimbra,Coimbra,PhD Workshop PC Members,Portugal,
"Yanlei Diao (University of Massachussets Amherst, United States)",Yanlei,Diao,University of Massachusetts,Amherst,PhD Workshop PC Members,United States,
"Alin Dobra (University of Florida, United States)",Alin,Dobra,University of Florida,Gainesville,PhD Workshop PC Members,United States,
"Vuk Ercegovac (IBM Almaden, United States)",Vuk,Ercegovac,IBM Almaden,,PhD Workshop PC Members,United States,
"Raghav Kaushik (Microsoft Research, United States)",Raghav,Kaushik,Microsoft Research,Redmond,PhD Workshop PC Members,United States,
"Kristen Lefevre (University of Michigan, United States)",Kristen,Lefevre,University of Michigan,Ann Arbor,PhD Workshop PC Members,United States,
"Boon Thau Loo (University of Pennsylvania, United States)",Boon Thau,Loo,University of Pennsylvania,Philadelphia,PhD Workshop PC Members,United States,
"Qiong Luo (Hong Kong University of Science and Technology, China)",Qiong,Luo,Hong Kong University of Science and Technology,Hong Kong,PhD Workshop PC Members,China,
"Stefan Manegold (CWI, Netherlands)",Stefan,Manegold,Centrum Wiskunde & Informatica,Amsterdam,PhD Workshop PC Members,Netherlands,
"Stratos Papadomanolakis (Oracle, United States)",Stratos,Papadomanolakis,Oracle,?,PhD Workshop PC Members,United States,
"Altigran Silva (Universidade Federal do Amazonas, Brazil)",Altigran,Silva,Federal University of Amazonas,Manaus,PhD Workshop PC Members,Brazil,https://orcid.org/0000-0002-8992-495X
"Stratis Viglas (University of Edinburgh, UK)",Stratis,Viglas,University of Edinburgh,Edinburgh,PhD Workshop PC Members,United Kingdom,
"Volker Markl, IBM Almaden Research Center, United States",Volker,Markl,IBM Research,Almaden,Experiments and Analyses PC Chair,United States,
"Gustavo Alonso (Swiss Federal Institute of Technology, Switzerland)",Gustavo,Alonso,ETH Zurich,Zurich,Experiments and Analyses PC Member,Switzerland,
"Johann-Christoph Freytag (Humboldt University, Germany)",Johann-Christoph,Freytag,Humboldt University of Berlin,Berlin,Experiments and Analyses PC Member,Germany,
"Nick Koudas (University of Toronto, Canada)",Nick,Koudas,University of Toronto,Toronto,Experiments and Analyses PC Member,Canada,
"Paul Larson (Microsoft Research, United States)",Paul,Larson,Microsoft Research,Redmond,Experiments and Analyses PC Member,United States,
"Hamid Pirahesh (IBM Almaden Research Center, United States)",Hamid,Pirahesh,IBM Research,Almaden,Experiments and Analyses PC Member,United States,
