Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Serge Abiteboul,Serge,Abiteboul,?,,General Program Chair,?,
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Founding Editor in Chief,United States,https://orcid.org/0000-0003-0724-5214
Serge Abiteboul,Serge,Abiteboul,?,,Steering Committee,?,
Peter Apers,Peter,Apers,?,,Steering Committee,?,
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Steering Committee,United States,
Elisa Bertino,Elisa,Bertino,Purdue University,,Steering Committee,United States,https://orcid.org/0000-0002-4029-7051
Peter Buneman,Peter,Buneman,University of Edinburgh,,Steering Committee,United Kingdom,
Martin Kersten,Martin,Kersten,Centrum Wiskunde & Informatica,,Steering Committee,Netherlands,
Z Meral Ozsoyuglu,Z Meral,Ozsoyuglu,?,,Steering Committee,?,
Tova Milo,Tova,Milo,Tel Aviv University,,Track Chair,Israel,
Jignesh Patel,Jignesh M.,Patel,University of Wisconsin,Madison,Track Chair,United States,
Philippe Rigaux,Philippe,Rigaux,?,,Proceedings Chair,?,
Gerald Weber,Gerald,Weber,University of Auckland,,Information Director,New Zealand,https://orcid.org/0000-0002-2935-1571
"Daniel Abadi, University of Yale, United States",Daniel,Abadi,Yale University,,Member Review Board,United States,
"Anastasia Ailamaki, EPFL, Switzerland",Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,,Member Review Board,Switzerland,
"Walid Aref, University of Purdue, United States",Walid,Aref,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0001-8169-7775
"Phil Bohannon, Yahoo! Research, United States",Phil,Bohannon,Yahoo! Research,,Member Review Board,United States,
"Peter Boncz, CWI, The Netherlands",Peter,Boncz,Centrum Wiskunde & Informatica,,Member Review Board,The Netherlands,
"Angela Bonifati, CNR, Italy",Angela,Bonifati,National Research Council,,Member Review Board,Italy,https://orcid.org/0000-0002-9582-869X
"Nick Bruno, Microsoft Research, United States",Nicolas,Bruno,Microsoft Research,,Member Review Board,United States,
"Ugur Cetintemel, University of Brown, United States",Ugur,Cetintemel,Brown University,,Member Review Board,United States,
"Sang Cha, Seoul National University, Korea",Sang,Cha,Seoul National University,,Member Review Board,Korea,
"Chee Yong Chan, NUS, Singapore",Chee Yong,Chan,National University of Singapore,,Member Review Board,Singapore,
"Mitch Cherniack, University of Brandeis, United States",Mitch,Cherniack,University of Brandeis,,Member Review Board,United States,
"Junghoo Cho, UCLA, United States",Junghoo,Cho,University of California,Los Angeles,Member Review Board,United States,
"Panos Chrysanthis, University of Pittsburgh, United States",Panos,Chrysanthis,University of Pittsburgh,,Member Review Board,United States,https://orcid.org/0000-0001-7189-9816
"Mariano Consens, University of Toronto, Canada",Mariano,Consens,University of Toronto,,Member Review Board,Canada,
"Amol Deshpande, University of Maryland, United States",Amol,Deshpande,University of Maryland,,Member Review Board,United States,
"David DeWitt, Microsoft Research, United States",David,DeWitt,Microsoft Research,,Member Review Board,United States,
"Yanlei Diao, University of Massachusetts, Amherst, United States",Yanlei,Diao,University of Massachusetts,Amherst,Member Review Board,Amherst,
"AnHai Doan, University of Wisconsin, United States",AnHai,Doan,University of Wisconsin,Madison,Member Review Board,United States,
"Christos Faloutsos, CMU, United States",Christos,Faloutsos,Carnegie Mellon University,Pittsburgh,Member Review Board,United States,https://orcid.org/0000-0003-2996-9790
"Wenfei Fan, University of Edinburgh, UK",Wenfei,Fan,University of Edinburgh,,Member Review Board,UK,https://orcid.org/0000-0001-5149-2656
"Alan Fekete, University of Sydney, Australia",Alan,Fekete,University of Sydney,,Member Review Board,Australia,
"Naga Govindaraju, Microsoft Research, United States",Naga,Govindaraju,Microsoft Research,,Member Review Board,United States,
"Goetz Graefe, HP Labs, United States",Goetz,Graefe,HP Labs,,Member Review Board,United States,
"Torsten Grust, TU Munchen, Germany",Torsten,Grust,Technical University of Munich,,Member Review Board,Germany,
"Dimitrios Gunopulos, UC Riverside, United States",Dimitrios,Gunopulos,University of California,Riverside,Member Review Board,United States,
"Jiawei Han, UIUC, United States",Jiawei,Han,University of Illinois,Urbana-Champaign,Member Review Board,United States,
"Richard Hankins, Nokia Research, United States",Richard,Hankins,Nokia Research,,Member Review Board,United States,
"Zachary Ives, University of Pennsylvania, United States",Zachary G.,Ives,University of Pennsylvania,,Member Review Board,United States,
"Christian S. Jensen, University of Aalborg, Denmark",Christian S.,Jensen,Aalborg University,,Member Review Board,Denmark,
"Tamer Kahveci, University of Florida, United States",Tamer,Kahveci,University of Florida,,Member Review Board,United States,https://orcid.org/0000-0002-4403-8612
"Daniel Keim, University of Konstanz, Germany",Daniel,Keim,University of Konstanz,,Member Review Board,Germany,https://orcid.org/0000-0001-7966-9740
"Bettina Kemme, University of McGill, Canada",Bettina,Kemme,McGill University,,Member Review Board,Canada,
